Year,ages,female,male
2037,30-34,0.2999956195,0.3174783615
2037,35-39,0.2876573395,0.3033532425
2037,40-44,0.2820103285,0.2941231985
2037,45-49,0.2881289315,0.295649516
2037,50-54,0.2690798845,0.271211533
2037,55-59,0.239362452,0.2367191465
2037,60-64,0.218497815,0.209672106
2037,65-69,0.204785432,0.188763273
2037,70-74,0.1746972605,0.1518494555
2037,75-79,0.126382685,0.101248701
2037,80-84,0.094471664,0.068082266
2037,85-89,0.0539131905,0.0339268425
2037,90-94,0.0212703425,0.01122527
2037,95-99,0.0062973735,0.0024916855
2037,100+,0.0011494525,0.0003201485
2038,0-4,0.3285591975,0.3423869755
2038,5-9,0.3216936035,0.3354528525
2038,10-14,0.3158287475,0.3305184595
2038,15-19,0.3145789845,0.330926602
2038,20-24,0.327213227,0.346124101
2038,25-29,0.320978265,0.3404213935
2038,30-34,0.303277251,0.3209926355
2038,35-39,0.2894244925,0.305194293
2038,40-44,0.2816490385,0.2942789325
2038,45-49,0.286693137,0.2945994395
2038,50-54,0.2735127115,0.2759991955
2038,55-59,0.2449258055,0.2424172155
2038,60-64,0.218408433,0.209836406
2038,65-69,0.20718126,0.191346792
2038,70-74,0.1770116105,0.154345851
2038,75-79,0.1313456125,0.105830959
2038,80-84,0.0969341095,0.070234461
2038,85-89,0.056518252,0.035641944
2038,90-94,0.0228353075,0.012106457
2038,95-99,0.006509097,0.0026105955
2038,100+,0.001205527,0.0003397955
2039,0-4,0.329355172,0.3431233895
2039,5-9,0.322659975,0.3362720145
2039,10-14,0.3167568815,0.3311531945
2039,15-19,0.3129447555,0.3286791345
2039,20-24,0.3256475865,0.343987273
2039,25-29,0.3230161275,0.34233983
2039,30-34,0.3068198655,0.324785857
2039,35-39,0.2914586165,0.307276659
2039,40-44,0.281698951,0.2947567095
2039,45-49,0.2846930825,0.2930451225
2039,50-54,0.2779611055,0.2808951735
2039,55-59,0.249667968,0.2472502975
2039,60-64,0.2194401165,0.211110091
2039,65-69,0.208340711,0.1927588045
2039,70-74,0.1794576785,0.157009797
2039,75-79,0.1377364095,0.111576967
2039,80-84,0.098395033,0.071640198
2039,85-89,0.059008066,0.0373398095
2039,90-94,0.0245015145,0.013015092
2039,95-99,0.0067316055,0.0027338695
2039,100+,0.0012608905,0.0003598195
2040,0-4,0.3300525275,0.3437676345
2040,5-9,0.3236141385,0.33710282
2040,10-14,0.3177083155,0.331838505
2040,15-19,0.312434688,0.3276664505
2040,20-24,0.3231601195,0.340827527
2040,25-29,0.3245810465,0.343696045
2040,30-34,0.3102768965,0.3284534805
2040,35-39,0.2934086015,0.3092455475
2040,40-44,0.2824034695,0.2958293465
2040,45-49,0.281916664,0.2907101855
2040,50-54,0.2820306055,0.285526745
2040,55-59,0.25413037,0.2517933885
2040,60-64,0.2222085425,0.214095279
2040,65-69,0.2085270645,0.1932325155
2040,70-74,0.182606626,0.160297136
2040,75-79,0.143916527,0.1171115405
2040,80-84,0.0991664215,0.072551498
2040,85-89,0.0615022895,0.039113707
2040,90-94,0.026287534,0.013960285
2040,95-99,0.0069460455,0.002846878
2040,100+,0.001323489,0.0003819955
2041,0-4,0.330675821,0.3443440475
2041,5-9,0.3245482625,0.3379345325
2041,10-14,0.318671501,0.3325627355
2041,15-19,0.312963725,0.3278077425
2041,20-24,0.3197570345,0.3366423705
2041,25-29,0.3258167595,0.344679341
2041,30-34,0.313538539,0.3318673925
2041,35-39,0.2954185775,0.311292996
2041,40-44,0.283684943,0.2974054215
2041,45-49,0.2797580775,0.289029578
2041,50-54,0.2841626995,0.2882073475
2041,55-59,0.2586541385,0.256438257
2041,60-64,0.2263302525,0.2183906205
2041,65-69,0.20808576,0.1931086005
2041,70-74,0.1860552205,0.1638353295
2041,75-79,0.149796061,0.122375881
2041,80-84,0.099921403,0.073450968
2041,85-89,0.0636882245,0.0407339925
2041,90-94,0.028034385,0.014897842
2041,95-99,0.007286451,0.00302385
2041,100+,0.001391917,0.0004047015
2042,0-4,0.3311879465,0.3448160155
2042,5-9,0.325449936,0.3387464485
2042,10-14,0.31965498,0.333337658
2042,15-19,0.31387027,0.3283720685
2042,20-24,0.3160469135,0.3320967385
2042,25-29,0.3264169605,0.344970996
2042,30-34,0.3167523125,0.3351922435
2042,35-39,0.2980820155,0.3141034435
2042,40-44,0.285198632,0.2990855995
2042,45-49,0.278879371,0.288706764
2042,50-54,0.2837275485,0.2881953255
2042,55-59,0.263105077,0.2611134295
2042,60-64,0.231654643,0.223835095
2042,65-69,0.207752855,0.193088496
2042,70-74,0.189428483,0.167266801
2042,75-79,0.153860115,0.1261412525
2042,80-84,0.101882723,0.0753377995
2042,85-89,0.0657362295,0.042317771
2042,90-94,0.029649483,0.015804287
2042,95-99,0.0078536505,0.0032976125
2042,100+,0.0014551595,0.000425701
2043,0-4,0.331530449,0.345117994
2043,5-9,0.32633608,0.3395539855
2043,10-14,0.3206475055,0.3341536815
2043,15-19,0.3148123275,0.328994053
2043,20-24,0.3132500905,0.3285662675
2043,25-29,0.325854529,0.34396517
2043,30-34,0.319491493,0.3379399045
2043,35-39,0.301359553,0.3176119055
2043,40-44,0.286961884,0.300923878
2043,45-49,0.2785331015,0.288892161
2043,50-54,0.2823221535,0.2872095775
2043,55-59,0.2675087195,0.265850534
2043,60-64,0.2371207005,0.2293685735
2043,65-69,0.2076984485,0.1933347675
2043,70-74,0.191749702,0.1697381775
2043,75-79,0.156078959,0.1284749735
2043,80-84,0.106332203,0.0792165295
2043,85-89,0.067618603,0.043837869
2043,90-94,0.0311371775,0.016663404
2043,95-99,0.008520619,0.0035950475
2043,100+,0.0015152285,0.0004484395
2044,0-4,0.3317229545,0.3452664905
2044,5-9,0.327168225,0.3403197025
2044,10-14,0.3216269105,0.334982379
2044,15-19,0.3157499205,0.329637646
2044,20-24,0.311629868,0.3263369615
2044,25-29,0.324304477,0.341852054
2044,30-34,0.3215366695,0.339868482
2044,35-39,0.304897602,0.321398368
2044,40-44,0.2889915135,0.303002122
2044,45-49,0.2785940645,0.289393159
2044,50-54,0.280358638,0.285727931
2044,55-59,0.271930487,0.270698585
2044,60-64,0.241780911,0.234067635
2044,65-69,0.2087301795,0.194627198
2044,70-74,0.1929054915,0.1711489735
2044,75-79,0.1584507805,0.1309894365
2044,80-84,0.111915002,0.083938559
2044,85-89,0.0687626785,0.0448614135
2044,90-94,0.0325718385,0.0175266565
2044,95-99,0.009199845,0.003889139
2044,100+,0.001575812,0.0004716635
2045,0-4,0.3317660175,0.3452647595
2045,5-9,0.327901949,0.3409940915
2045,10-14,0.322594458,0.3358230895
2045,15-19,0.316710888,0.330331746
2045,20-24,0.311132307,0.3253400405
2045,25-29,0.3218331595,0.3387174815
2045,30-34,0.323111225,0.34123824
2045,35-39,0.308351109,0.32506101
2045,40-44,0.2909385685,0.304969605
2045,45-49,0.279305243,0.2904823755
2045,50-54,0.277625134,0.2834776475
2045,55-59,0.275982082,0.275296112
2045,60-64,0.246176352,0.2385062225
2045,65-69,0.2114434825,0.1975336535
2045,70-74,0.193131373,0.171693495
2045,75-79,0.1614445195,0.1340222055
2045,80-84,0.117214741,0.0884008475
2045,85-89,0.0694393745,0.045588233
2045,90-94,0.0340514665,0.0184518145
2045,95-99,0.00989236,0.0041788765
2045,100+,0.001633547,0.0004926715
2046,0-4,0.331621396,0.3450740675
2046,5-9,0.328561059,0.341600466
2046,10-14,0.323542234,0.336664992
2046,15-19,0.3176834805,0.331064474
2046,20-24,0.311672621,0.325494671
2046,25-29,0.3184472085,0.3345593185
2046,30-34,0.324358288,0.342238021
2046,35-39,0.3116103525,0.3284717105
2046,40-44,0.29294672,0.307017931
2046,45-49,0.2805889205,0.2920672555
2046,50-54,0.2755043215,0.2818707395
2046,55-59,0.278119137,0.2779869545
2046,60-64,0.2506414105,0.2430590955
2046,65-69,0.2154665415,0.201676612
2046,70-74,0.192758532,0.171686764
2046,75-79,0.1647016815,0.137261352
2046,80-84,0.122171039,0.0925742925
2046,85-89,0.070128321,0.0463284845
2046,90-94,0.0353690315,0.019309966
2046,95-99,0.010566311,0.0044725605
2046,100+,0.001725182,0.000527287
2047,0-4,0.3312836525,0.3446830075
2047,5-9,0.3291090005,0.3421029225
2047,10-14,0.324457581,0.33748723
2047,15-19,0.318676285,0.33184771
2047,20-24,0.3125898685,0.3260709635
2047,25-29,0.3147544355,0.330040674
2047,30-34,0.324971868,0.3425502015
2047,35-39,0.3148232805,0.331795867
2047,40-44,0.295606727,0.3098256665
2047,45-49,0.282100722,0.293749851
2047,50-54,0.274653608,0.2815992815
2047,55-59,0.2777160065,0.278040937
2047,60-64,0.25504381,0.2476551965
2047,65-69,0.220654589,0.206906611
2047,70-74,0.1924839035,0.1717681905
2047,75-79,0.1678559655,0.1403714415
2047,80-84,0.1256024105,0.095583621
2047,85-89,0.0718020465,0.047804941
2047,90-94,0.0366346385,0.02016931
2047,95-99,0.011201245,0.00476548
2047,100+,0.001876683,0.0005804565
2048,0-4,0.3307437155,0.3440832555
2048,5-9,0.329487613,0.342436049
2048,10-14,0.325357247,0.338305148
2048,15-19,0.3196783345,0.332672275
2048,20-24,0.3135423615,0.326704427
2048,25-29,0.311973443,0.326534248
2048,30-34,0.3244247125,0.3415687015
2048,35-39,0.31756524,0.334548972
2048,40-44,0.298878459,0.3133267085
2048,45-49,0.283859121,0.295586506
2048,50-54,0.2743299405,0.281824739
2048,55-59,0.2763539285,0.277142783
2048,60-64,0.259404339,0.2523203665
2048,65-69,0.2259710365,0.212208291
2048,70-74,0.192472544,0.1720936785
2048,75-79,0.170042812,0.1426436395
2048,80-84,0.1276336075,0.097622573
2048,85-89,0.0754064755,0.050686838
2048,90-94,0.0378211145,0.0210086645
2048,95-99,0.0117846205,0.0050396965
2048,100+,0.0020500705,0.000636174
2049,0-4,0.32998135,0.343255094
2049,5-9,0.3297159925,0.34261593
2049,10-14,0.3262030765,0.3390815645
2049,15-19,0.3206674625,0.3335097985
2049,20-24,0.3144903455,0.3273592965
2049,25-29,0.31036721,0.3243257255
2049,30-34,0.322890713,0.3394816065
2049,35-39,0.319617079,0.33648942
2049,40-44,0.30240984,0.3171042465
2049,45-49,0.285882795,0.297661358
2049,50-54,0.274408254,0.2823574355
2049,55-59,0.274441927,0.275759805
2049,60-64,0.263784509,0.2570965265
2049,65-69,0.230504314,0.2167197805
2049,70-74,0.1934971935,0.173386563
2049,75-79,0.1711736675,0.144003765
2049,80-84,0.129853129,0.099862801
2049,85-89,0.079756,0.0540529845
2049,90-94,0.038566883,0.021593483
2049,95-99,0.0123583295,0.0053220885
2049,100+,0.002217824,0.0006889785
2050,0-4,0.3290197335,0.342218127
2050,5-9,0.3297950255,0.3426461
2050,10-14,0.3269508595,0.339767055
2050,15-19,0.321645037,0.3343596135
2050,20-24,0.3154616955,0.328064314
2050,25-29,0.3098818305,0.323346231
2050,30-34,0.3204363695,0.3363747435
2050,35-39,0.3212010195,0.3378747055
2050,40-44,0.3058576365,0.3207592465
2050,45-49,0.2878254825,0.2996282535
2050,50-54,0.2751311285,0.283468598
2050,55-59,0.271768281,0.27362166
2050,60-64,0.2678068955,0.2616390825
2050,65-69,0.2347944215,0.221006209
2050,70-74,0.1961207635,0.1761630735
2050,75-79,0.1714440355,0.1445944425
2050,80-84,0.132573527,0.1024865135
2050,85-89,0.0837725865,0.057136838
2050,90-94,0.039074127,0.022052317
2050,95-99,0.0129747,0.005632859
2050,100+,0.002379217,0.0007374055
2051,0-4,0.3278684415,0.3409810385
2051,5-9,0.3296864195,0.342487567
2051,10-14,0.3276239205,0.3403845275
2051,15-19,0.322603162,0.3352108855
