Location,Time,Sex,Age,Value
World,2068,Female,50+,1381361063.0
World,2068,Male,75+,475399687.5
World,2068,Female,75+,599226014.5
World,2069,Male,0-24,1643148441.5
World,2069,Female,0-24,1585691446.0
World,2069,Male,25-49,1618755055.5
World,2069,Female,25-49,1573295579.5
World,2069,Male,50+,1383062990.0
World,2069,Female,50+,1387649630.0
World,2069,Male,75+,481838265.0
World,2069,Female,75+,605633462.5
World,2070,Male,0-24,1638590434.0
World,2070,Female,0-24,1581387004.0
World,2070,Male,25-49,1620386728.0
World,2070,Female,25-49,1575844114.5
World,2070,Male,50+,1388309941.5
World,2070,Female,50+,1393016071.0
World,2070,Male,75+,487996203.0
World,2070,Female,75+,611636215.0
World,2071,Male,0-24,1633969017.0
World,2071,Female,0-24,1577012638.0
World,2071,Male,25-49,1622936705.0
World,2071,Female,25-49,1579153374.5
World,2071,Male,50+,1392461856.0
World,2071,Female,50+,1397560483.5
World,2071,Male,75+,493822003.0
World,2071,Female,75+,617226225.5
World,2072,Male,0-24,1629343312.0
World,2072,Female,0-24,1572623241.0
World,2072,Male,25-49,1625632405.5
World,2072,Female,25-49,1582522509.0
World,2072,Male,50+,1396279381.5
World,2072,Female,50+,1401953408.5
World,2072,Male,75+,499310220.0
World,2072,Female,75+,622395376.5
World,2073,Male,0-24,1624752376.0
World,2073,Female,0-24,1568256883.5
World,2073,Male,25-49,1628049072.5
World,2073,Female,25-49,1585552662.5
World,2073,Male,50+,1400056660.5
World,2073,Female,50+,1406449984.0
World,2073,Male,75+,504539759.5
World,2073,Female,75+,627234094.0
World,2074,Male,0-24,1620212512.0
World,2074,Female,0-24,1563927975.0
World,2074,Male,25-49,1630085303.0
World,2074,Female,25-49,1588145539.0
World,2074,Male,50+,1403733434.5
World,2074,Female,50+,1410967477.0
World,2074,Male,75+,509603447.0
World,2074,Female,75+,631877075.5
World,2075,Male,0-24,1615716477.5
World,2075,Female,0-24,1559629093.0
World,2075,Male,25-49,1631741215.0
World,2075,Female,25-49,1590308673.0
World,2075,Male,50+,1406930631.5
World,2075,Female,50+,1415106112.0
World,2075,Male,75+,514862467.0
World,2075,Female,75+,636699529.5
World,2076,Male,0-24,1611266191.0
World,2076,Female,0-24,1555363116.0
World,2076,Male,25-49,1632989599.0
World,2076,Female,25-49,1592017558.0
World,2076,Male,50+,1409805320.5
World,2076,Female,50+,1418963805.0
World,2076,Male,75+,520177872.0
World,2076,Female,75+,641596935.0
World,2077,Male,0-24,1606795936.0
World,2077,Female,0-24,1551067817.0
World,2077,Male,25-49,1633845756.0
World,2077,Female,25-49,1593290497.0
World,2077,Male,50+,1412735607.5
World,2077,Female,50+,1422880971.0
World,2077,Male,75+,525202962.00000006
World,2077,Female,75+,646262452.0
World,2078,Male,0-24,1602308090.0
World,2078,Female,0-24,1546747145.0
World,2078,Male,25-49,1634304080.0
World,2078,Female,25-49,1594125786.0
World,2078,Male,50+,1415579271.0
World,2078,Female,50+,1426740368.5
World,2078,Male,75+,530100034.0
World,2078,Female,75+,650844978.5
World,2079,Male,0-24,1597859520.0
World,2079,Female,0-24,1542455938.0
World,2079,Male,25-49,1634336992.0
World,2079,Female,25-49,1594501819.5
World,2079,Male,50+,1418149411.5
World,2079,Female,50+,1430378653.5
World,2079,Male,75+,535076118.0
World,2079,Female,75+,655508469.5
World,2080,Male,0-24,1593393489.0
World,2080,Female,0-24,1538142176.0
World,2080,Male,25-49,1633975671.0
World,2080,Female,25-49,1594452740.0
World,2080,Male,50+,1420377136.0
World,2080,Female,50+,1433728801.0
World,2080,Male,75+,540229590.0
World,2080,Female,75+,660337585.5
World,2081,Male,0-24,1588861901.5
World,2081,Female,0-24,1533757929.0
World,2081,Male,25-49,1633252496.5
World,2081,Female,25-49,1594013553.5
World,2081,Male,50+,1422237608.0
World,2081,Female,50+,1436744578.5
World,2081,Male,75+,545597351.5
World,2081,Female,75+,665386070.5
World,2082,Male,0-24,1584269824.0
World,2082,Female,0-24,1529305724.0
World,2082,Male,25-49,1632161224.5
World,2082,Female,25-49,1593184967.0
World,2082,Male,50+,1423591125.0
World,2082,Female,50+,1439260855.0
World,2082,Male,75+,551381325.0
World,2082,Female,75+,670867850.5
World,2083,Male,0-24,1579608985.0
World,2083,Female,0-24,1524782295.0
World,2083,Male,25-49,1630703965.5
World,2083,Female,25-49,1591974370.0
World,2083,Male,50+,1424384498.5
World,2083,Female,50+,1441215706.5
World,2083,Male,75+,557675403.5
World,2083,Female,75+,676881176.0
World,2084,Male,0-24,1574877998.0
World,2084,Female,0-24,1520187876.0
World,2084,Male,25-49,1628881710.0
World,2084,Female,25-49,1590380661.5
World,2084,Male,50+,1424743861.5
World,2084,Female,50+,1442743123.0
World,2084,Male,75+,564346976.0
World,2084,Female,75+,683285188.5
World,2085,Male,0-24,1570016618.0
World,2085,Female,0-24,1515463871.0
World,2085,Male,25-49,1626727219.0
World,2085,Female,25-49,1588438024.0
World,2085,Male,50+,1424919816.0
World,2085,Female,50+,1444078924.5
World,2085,Male,75+,571167357.0
World,2085,Female,75+,689867271.5
World,2086,Male,0-24,1564922799.0
World,2086,Female,0-24,1510513594.0
World,2086,Male,25-49,1624333653.5
World,2086,Female,25-49,1586239525.0
World,2086,Male,50+,1424990846.0
World,2086,Female,50+,1445269649.0
World,2086,Male,75+,578061313.0
World,2086,Female,75+,696594901.0
World,2087,Male,0-24,1559594554.5
World,2087,Female,0-24,1505334591.5
World,2087,Male,25-49,1621712508.5
World,2087,Female,25-49,1583795874.0
World,2087,Male,50+,1424621094.0
