Location,Time,LE,Pop
Northern America,2080,87.679,442.4642125
Northern America,2081,87.7995,442.865862
Northern America,2082,87.9161,443.2368055
Northern America,2083,88.0276,443.580807
Northern America,2084,88.1407,443.903737
Northern America,2085,88.2589,444.2045565
Northern America,2086,88.3756,444.490542
Northern America,2087,88.4878,444.762383
Northern America,2088,88.604,445.021539
Northern America,2089,88.7188,445.2767915
Northern America,2090,88.821,445.522605
Northern America,2091,88.9479,445.766415
Northern America,2092,89.0575,446.0152825
Northern America,2093,89.1761,446.2632695
Northern America,2094,89.295,446.5128065
Northern America,2095,89.4061,446.766722
Northern America,2096,89.5243,447.031086
Northern America,2097,89.6464,447.2946205
Northern America,2098,89.7528,447.547761
Northern America,2099,89.8659,447.7902895
Northern America,2100,89.9793,448.02612
Europe,2023,79.4918,742.2726525
Europe,2024,79.9951,741.651866
Europe,2025,80.1476,741.045334
Europe,2026,80.3008,740.3347755
Europe,2027,80.4564,739.52553
Europe,2028,80.6107,738.626412
Europe,2029,80.7668,737.6426245
Europe,2030,80.9182,736.5742145
Europe,2031,81.0706,735.4328345
Europe,2032,81.2178,734.2244155
Europe,2033,81.3689,732.949727
Europe,2034,81.5141,731.6116675
Europe,2035,81.6599,730.2138205
Europe,2036,81.8073,728.7630245
Europe,2037,81.9539,727.2671905
Europe,2038,82.0984,725.729726
Europe,2039,82.2453,724.143267
Europe,2040,82.3903,722.5081395
Europe,2041,82.5355,720.828349
Europe,2042,82.6796,719.1031585
Europe,2043,82.8232,717.3298705
Europe,2044,82.966,715.499163
Europe,2045,83.1095,713.6049435
Europe,2046,83.2467,711.64141
Europe,2047,83.3881,709.6077885
Europe,2048,83.5245,707.495781
Europe,2049,83.6617,705.2942095
Europe,2050,83.7965,703.007486
Europe,2051,83.9337,700.6358015
Europe,2052,84.0638,698.178648
Europe,2053,84.1975,695.639834
Europe,2054,84.3311,693.029312
Europe,2055,84.4638,690.3509655
Europe,2056,84.5968,687.6097625
Europe,2057,84.7302,684.819394
Europe,2058,84.8628,681.9889875
Europe,2059,84.9971,679.1270165
Europe,2060,85.1292,676.2458355
Europe,2061,85.2594,673.358244
Europe,2062,85.3894,670.471241
Europe,2063,85.5226,667.598893
Europe,2064,85.6564,664.750052
Europe,2065,85.789,661.924242
Europe,2066,85.9191,659.124925
Europe,2067,86.0524,656.357658
Europe,2068,86.1848,653.63408
Europe,2069,86.3172,650.9558265
Europe,2070,86.4497,648.3172575
Europe,2071,86.5819,645.7221175
Europe,2072,86.7117,643.174088
Europe,2073,86.848,640.6708325
Europe,2074,86.9766,638.209203
Europe,2075,87.1069,635.790105
Europe,2076,87.2365,633.4124945
Europe,2077,87.3649,631.0742285
Europe,2078,87.4915,628.7739645
Europe,2079,87.6186,626.513691
Europe,2080,87.7423,624.2943645
Europe,2081,87.8638,622.1085265
Europe,2082,87.9823,619.954425
Europe,2083,88.1027,617.8392075
Europe,2084,88.2207,615.762722
Europe,2085,88.338,613.721228
Europe,2086,88.4546,611.7145975
Europe,2087,88.5699,609.7435265
Europe,2088,88.6825,607.8075325
Europe,2089,88.7997,605.9057745
Europe,2090,88.9124,604.036909
Europe,2091,89.0243,602.1973735
Europe,2092,89.1423,600.3854725
Europe,2093,89.2547,598.599971
Europe,2094,89.3706,596.8345545
Europe,2095,89.4861,595.0844495
Europe,2096,89.6025,593.348503
Europe,2097,89.7193,591.623126
Europe,2098,89.8378,589.909925
Europe,2099,89.9582,588.2093095
Europe,2100,90.0774,586.515447
Oceania,2023,79.3115,45.5757675
Oceania,2024,79.4508,46.109212
Oceania,2025,79.579,46.6394405
Oceania,2026,79.6949,47.1657985
Oceania,2027,79.8205,47.686941
Oceania,2028,79.9405,48.2022345
Oceania,2029,80.0562,48.7108135
Oceania,2030,80.1572,49.21201
Oceania,2031,80.266,49.7064245
Oceania,2032,80.3671,50.19368
Oceania,2033,80.4734,50.673214
Oceania,2034,80.5835,51.1457115
Oceania,2035,80.6794,51.611254
Oceania,2036,80.7753,52.0698815
Oceania,2037,80.8723,52.522591
Oceania,2038,80.9712,52.9692185
Oceania,2039,81.075,53.4091785
Oceania,2040,81.1635,53.843099
Oceania,2041,81.2612,54.270974
Oceania,2042,81.3614,54.6928245
Oceania,2043,81.4578,55.109394
Oceania,2044,81.5592,55.519195
Oceania,2045,81.6568,55.922341
Oceania,2046,81.7451,56.3196475
Oceania,2047,81.8436,56.710029
Oceania,2048,81.9352,57.0927495
Oceania,2049,82.0312,57.467406
Oceania,2050,82.1257,57.8344645
Oceania,2051,82.2287,58.193873
Oceania,2052,82.3246,58.5463715
Oceania,2053,82.4183,58.8933405
Oceania,2054,82.5194,59.2340925
Oceania,2055,82.6125,59.5672435
Oceania,2056,82.7051,59.893172
Oceania,2057,82.8082,60.2145875
Oceania,2058,82.8977,60.530752
Oceania,2059,82.9983,60.839722
Oceania,2060,83.0978,61.142438
Oceania,2061,83.1948,61.4395325
Oceania,2062,83.2845,61.730897
Oceania,2063,83.3844,62.0164145
Oceania,2064,83.4734,62.297185
Oceania,2065,83.5763,62.5734715
Oceania,2066,83.6603,62.8440505
Oceania,2067,83.7611,63.108711
Oceania,2068,83.8597,63.368772
Oceania,2069,83.9554,63.6246605
Oceania,2070,84.0392,63.8753555
Oceania,2071,84.1368,64.119471
Oceania,2072,84.2273,64.3562435
Oceania,2073,84.3262,64.5862495
Oceania,2074,84.4179,64.809864
Oceania,2075,84.5215,65.0270825
Oceania,2076,84.6132,65.2368825
Oceania,2077,84.7146,65.437948
Oceania,2078,84.8063,65.6316055
Oceania,2079,84.912,65.81872650000001
Oceania,2080,85.0103,65.99966250000001
Oceania,2081,85.1095,66.1747815
Oceania,2082,85.2091,66.3428285
Oceania,2083,85.3092,66.5040845
Oceania,2084,85.4194,66.6601465
Oceania,2085,85.5272,66.812087
Oceania,2086,85.6288,66.95871550000001
Oceania,2087,85.7334,67.1000295
Oceania,2088,85.8413,67.2368055
Oceania,2089,85.9494,67.369349
Oceania,2090,86.061,67.4998975
Oceania,2091,86.1703,67.629093
Oceania,2092,86.2886,67.756971
Oceania,2093,86.3959,67.8838595
Oceania,2094,86.512,68.008919
Oceania,2095,86.6252,68.131217
Oceania,2096,86.74,68.2522725
Oceania,2097,86.8551,68.371194
Oceania,2098,86.9718,68.48656
Oceania,2099,87.0883,68.600334
Oceania,2100,87.2087,68.711947
