Location,Iso3,Value,type
Bosnia and Herzegovina,BIH,4.05847,Fertility
Bosnia and Herzegovina,BIH,3.974437,Fertility
Bosnia and Herzegovina,BIH,3.90714,Fertility
Bosnia and Herzegovina,BIH,3.826181,Fertility
Bosnia and Herzegovina,BIH,3.737452,Fertility
Bosnia and Herzegovina,BIH,3.643846,Fertility
Bosnia and Herzegovina,BIH,3.538209,Fertility
Bosnia and Herzegovina,BIH,3.439405,Fertility
Bosnia and Herzegovina,BIH,3.307906,Fertility
Bosnia and Herzegovina,BIH,3.170776,Fertility
Bosnia and Herzegovina,BIH,3.047422,Fertility
Bosnia and Herzegovina,BIH,2.940784,Fertility
Bosnia and Herzegovina,BIH,2.828189,Fertility
Bosnia and Herzegovina,BIH,2.748197,Fertility
Bosnia and Herzegovina,BIH,2.663931,Fertility
Bosnia and Herzegovina,BIH,2.555943,Fertility
Bosnia and Herzegovina,BIH,2.45096,Fertility
Bosnia and Herzegovina,BIH,2.359912,Fertility
Bosnia and Herzegovina,BIH,2.270528,Fertility
Bosnia and Herzegovina,BIH,2.175478,Fertility
Bosnia and Herzegovina,BIH,2.095083,Fertility
Bosnia and Herzegovina,BIH,2.038593,Fertility
Bosnia and Herzegovina,BIH,2.0343,Fertility
Bosnia and Herzegovina,BIH,2.073114,Fertility
Bosnia and Herzegovina,BIH,2.095211,Fertility
Bosnia and Herzegovina,BIH,2.085356,Fertility
Bosnia and Herzegovina,BIH,2.050984,Fertility
Bosnia and Herzegovina,BIH,2.002457,Fertility
Bosnia and Herzegovina,BIH,1.951388,Fertility
Bosnia and Herzegovina,BIH,1.910643,Fertility
Bosnia and Herzegovina,BIH,1.872773,Fertility
Bosnia and Herzegovina,BIH,1.820732,Fertility
Bosnia and Herzegovina,BIH,1.793766,Fertility
Bosnia and Herzegovina,BIH,1.798493,Fertility
Bosnia and Herzegovina,BIH,1.773026,Fertility
Bosnia and Herzegovina,BIH,1.740984,Fertility
Bosnia and Herzegovina,BIH,1.70521,Fertility
Bosnia and Herzegovina,BIH,1.675533,Fertility
Bosnia and Herzegovina,BIH,1.650537,Fertility
Bosnia and Herzegovina,BIH,1.676796,Fertility
Bosnia and Herzegovina,BIH,1.554321,Fertility
Bosnia and Herzegovina,BIH,1.370102,Fertility
Bosnia and Herzegovina,BIH,1.282969,Fertility
Bosnia and Herzegovina,BIH,1.231877,Fertility
Bosnia and Herzegovina,BIH,1.229733,Fertility
Bosnia and Herzegovina,BIH,1.219719,Fertility
Bosnia and Herzegovina,BIH,1.219068,Fertility
Bosnia and Herzegovina,BIH,1.203395,Fertility
Bosnia and Herzegovina,BIH,1.186005,Fertility
Bosnia and Herzegovina,BIH,1.251578,Fertility
Bosnia and Herzegovina,BIH,1.275507,Fertility
Bosnia and Herzegovina,BIH,1.299414,Fertility
Bosnia and Herzegovina,BIH,1.275817,Fertility
Bosnia and Herzegovina,BIH,1.216305,Fertility
Bosnia and Herzegovina,BIH,1.290348,Fertility
Bosnia and Herzegovina,BIH,1.275604,Fertility
Bosnia and Herzegovina,BIH,1.262331,Fertility
Bosnia and Herzegovina,BIH,1.288974,Fertility
Bosnia and Herzegovina,BIH,1.323981,Fertility
Bosnia and Herzegovina,BIH,1.354673,Fertility
Bosnia and Herzegovina,BIH,1.383967,Fertility
Bosnia and Herzegovina,BIH,1.368485,Fertility
Bosnia and Herzegovina,BIH,1.358664,Fertility
Bosnia and Herzegovina,BIH,1.349817,Fertility
Bosnia and Herzegovina,BIH,1.34584,Fertility
Bosnia and Herzegovina,BIH,1.34047,Fertility
Bulgaria,BGR,2.52138,Fertility
Bulgaria,BGR,2.48114,Fertility
Bulgaria,BGR,2.470758,Fertility
Bulgaria,BGR,2.411478,Fertility
Bulgaria,BGR,2.364155,Fertility
Bulgaria,BGR,2.383068,Fertility
Bulgaria,BGR,2.342473,Fertility
Bulgaria,BGR,2.254563,Fertility
Bulgaria,BGR,2.231583,Fertility
Bulgaria,BGR,2.23653,Fertility
Bulgaria,BGR,2.310695,Fertility
Bulgaria,BGR,2.289389,Fertility
Bulgaria,BGR,2.222268,Fertility
Bulgaria,BGR,2.209907,Fertility
Bulgaria,BGR,2.164192,Fertility
Bulgaria,BGR,2.076851,Fertility
Bulgaria,BGR,2.030228,Fertility
Bulgaria,BGR,2.032413,Fertility
Bulgaria,BGR,2.264979,Fertility
Bulgaria,BGR,2.268466,Fertility
Bulgaria,BGR,2.176229,Fertility
Bulgaria,BGR,2.103582,Fertility
Bulgaria,BGR,2.035699,Fertility
Bulgaria,BGR,2.150645,Fertility
Bulgaria,BGR,2.284051,Fertility
Bulgaria,BGR,2.231184,Fertility
Bulgaria,BGR,2.242221,Fertility
Bulgaria,BGR,2.205509,Fertility
Bulgaria,BGR,2.154918,Fertility
Bulgaria,BGR,2.144019,Fertility
Bulgaria,BGR,2.056772,Fertility
Bulgaria,BGR,2.006126,Fertility
