0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,+100,Year
77946424,8825098,4754821,5973644,7420006,7703763,7909905,8169695,9451815,10454865,11734099,15513050,20362025,25186058,27978162,26790463,25081369,17247806,7710627,2048169,321722,1996
75903148,8651514,4740182,5988620,7372785,7729769,7950634,8171375,9536811,10691831,11863646,15356277,20386274,25247063,28374043,27434036,24864305,17660190,7993439,2169747,342860,1997
74420969,8607297,4827694,6138823,7517776,7910633,8093838,8396421,9724322,11008645,12186233,15192547,20468926,25270572,28840621,28265899,24651438,18095871,8307819,2297820,367905,1998
71563466,8152904,4679024,6042856,7404924,7843088,8089271,8553316,9789173,11252090,12632872,15094289,20671777,25433163,29434236,29373815,24928838,18829090,8812029,2458534,401059,1999
69524657,7855291,4639300,5997871,7326840,7761918,8116315,8703815,9790299,11468883,13166201,15011890,20791816,25515191,29917682,30072153,25311348,19091131,9115858,2560330,424078,2000
67386347,7672201,4598006,6000159,7359056,7747630,8205399,8893891,9789792,11653769,13629222,14968446,20700381,25500456,30135977,30565049,25896773,19082876,9400390,2681162,452076,2001
65217281,7527132,4526739,5981407,7378939,7685810,8254577,9003618,9797566,11860045,14075405,15171430,20644850,25795377,30562419,31494658,27075768,19284080,9869962,2836883,485843,2002
62839759,7327055,4420233,5943683,7406325,7641788,8312900,9032543,9880300,12067505,14519853,15540147,20466402,26082881,30872490,32454133,28461524,19521945,10384164,3009523,519303,2003
61023058,7335357,4423751,5992007,7485941,7657967,8353807,9092741,10049363,12220400,14848425,16061280,20271935,26262291,30931691,32937236,29399469,19471819,10523605,3079008,530994,2004
58697990,7079050,4250933,5875897,7375250,7538748,8204036,8983916,10087041,12193270,15056180,16624829,20131309,26385937,31178518,33728948,30566930,20282413,11012778,3302375,569220,2005
56521057,6835164,4062634,5734418,7277376,7460351,8037576,8891417,10128967,12103138,15142364,17079957,20078164,26233363,31260577,34026436,31235820,21014397,11063355,3429531,589148,2006
54701354,6688259,3965615,5640614,7247806,7463200,7943255,8866873,10215786,12108606,15311970,17620869,20482076,26216996,31752184,34522798,32272249,22172044,11232081,3633833,626365,2007
