Location,Age,Value
Eritrea,20,373138.5
Eritrea,25,304752.0
Eritrea,30,222131.5
Eritrea,35,187881.5
Eritrea,40,162539.5
Eritrea,45,142162.5
Eritrea,50,122203.5
Eritrea,55,100681.5
Eritrea,60,78834.5
Eritrea,65,57869.0
Eritrea,70,41143.0
Eritrea,75,30111.5
Eritrea,80,15317.0
Eritrea,85,5452.5
Eritrea,90,1200.5
Eritrea,95,102.5
Eritrea,100,1.0
Djibouti,0,117411.5
Djibouti,5,112948.5
Djibouti,10,111059.0
Djibouti,15,113207.0
Djibouti,20,109034.0
Djibouti,25,96420.5
Djibouti,30,88422.5
Djibouti,35,78076.5
Djibouti,40,71091.5
Djibouti,45,63681.5
Djibouti,50,52490.5
Djibouti,55,40408.5
Djibouti,60,29999.0
Djibouti,65,21259.5
Djibouti,70,14995.5
Djibouti,75,9521.5
Djibouti,80,4499.0
Djibouti,85,1536.5
Djibouti,90,347.0
Djibouti,95,43.0
Djibouti,100,2.0
Gabon,0,307532.5
Gabon,5,300013.0
Gabon,10,271793.0
Gabon,15,227233.0
Gabon,20,200304.0
Gabon,25,190424.0
Gabon,30,190229.0
Gabon,35,175632.5
Gabon,40,148659.0
Gabon,45,117745.5
Gabon,50,90899.5
Gabon,55,69257.0
Gabon,60,52009.0
Gabon,65,37600.5
Gabon,70,26240.0
Gabon,75,16522.5
Gabon,80,9027.0
Gabon,85,3943.0
Gabon,90,1219.0
Gabon,95,248.0
Gabon,100,35.5
Gambia,0,420440.5
Gambia,5,395572.0
Gambia,10,365012.0
Gambia,15,313297.5
Gambia,20,256678.5
Gambia,25,211682.0
Gambia,30,176742.5
Gambia,35,147097.0
Gambia,40,122549.0
Gambia,45,101957.5
Gambia,50,83203.5
Gambia,55,65116.0
Gambia,60,46217.5
Gambia,65,28842.0
Gambia,70,17101.0
Gambia,75,12296.0
Gambia,80,6336.0
Gambia,85,2336.0
Gambia,90,601.5
Gambia,95,85.5
Gambia,100,4.5
Ghana,0,4352660.5
Ghana,5,4222269.0
Ghana,10,3914782.0
Ghana,15,3482038.5
Ghana,20,3046813.5
Ghana,25,2614807.5
Ghana,30,2471837.5
Ghana,35,2299813.0
Ghana,40,2025247.0
Ghana,45,1565522.0
Ghana,50,1151524.0
Ghana,55,931873.0
Ghana,60,797526.5
Ghana,65,565976.0
Ghana,70,340405.5
Ghana,75,185117.5
Ghana,80,101489.5
Ghana,85,40987.5
Ghana,90,10008.0
Ghana,95,1226.0
Ghana,100,61.0
Guinea,0,2141308.0
Guinea,5,1953626.5
Guinea,10,1753221.5
Guinea,15,1537631.0
Guinea,20,1359853.5
Guinea,25,1206400.5
Guinea,30,997950.0
Guinea,35,764508.5
Guinea,40,575350.0
Guinea,45,455862.5
Guinea,50,388127.5
Guinea,55,327219.0
Guinea,60,259960.0
Guinea,65,191458.5
Guinea,70,129131.0
Guinea,75,83668.0
Guinea,80,44309.0
Guinea,85,16510.0
Guinea,90,3975.0
Guinea,95,515.0
Guinea,100,27.0
Côte d'Ivoire,0,4325136.5
Côte d'Ivoire,5,3929644.0
Côte d'Ivoire,10,3618557.5
Côte d'Ivoire,15,3222949.0
Côte d'Ivoire,20,2796416.0
Côte d'Ivoire,25,2280911.0
Côte d'Ivoire,30,1901441.5
Côte d'Ivoire,35,1562156.0
Côte d'Ivoire,40,1447495.0
Côte d'Ivoire,45,1176053.5
Côte d'Ivoire,50,871548.0
Côte d'Ivoire,55,623596.0
Côte d'Ivoire,60,422955.0
Côte d'Ivoire,65,297196.0
